time,value
8.39,-1.28826e+115
8.4,1.77097e+115
8.41,-2.43456e+115
8.42,3.34679e+115
8.43,-4.60083e+115
8.44,6.32477e+115
8.45,-8.69466e+115
8.46,1.19526e+116
8.47,-1.64312e+116
8.48,2.2588e+116
8.49,-3.10517e+116
8.5,4.26868e+116
8.51,-5.86816e+116
8.52,8.06696e+116
8.53,-1.10897e+117
8.54,1.5245e+117
8.55,-2.09573e+117
8.56,2.881e+117
8.57,-3.96051e+117
8.58,5.44451e+117
8.59,-7.48458e+117
8.6,1.02891e+118
8.61,-1.41444e+118
8.62,1.94443e+118
8.63,-2.67301e+118
8.64,3.67458e+118
8.65,-5.05145e+118
8.66,6.94424e+118
8.67,-9.54625e+118
8.68,1.31232e+119
8.69,-1.80405e+119
8.7,2.48003e+119
8.71,-3.4093e+119
8.72,4.68677e+119
8.73,-6.44291e+119
8.74,8.85707e+119
8.75,-1.21758e+120
8.76,1.67381e+120
8.77,-2.30099e+120
8.78,3.16317e+120
8.79,-4.34841e+120
8.8,5.97777e+120
8.81,-8.21764e+120
8.82,1.12968e+121
8.83,-1.55297e+121
8.84,2.13487e+121
8.85,-2.93481e+121
8.86,4.03449e+121
8.87,-5.54621e+121
8.88,7.62438e+121
8.89,-1.04812e+122
8.9,1.44086e+122
8.91,-1.98075e+122
8.92,2.72294e+122
8.93,-3.74322e+122
8.94,5.14581e+122
8.95,-7.07395e+122
8.96,9.72456e+122
8.97,-1.33684e+123
8.98,1.83775e+123
8.99,-2.52636e+123
9,3.47298e+123
9.01,-4.77431e+123
9.02,6.56325e+123
9.03,-9.02251e+123
9.04,1.24033e+124
9.05,-1.70508e+124
9.06,2.34397e+124
9.07,-3.22226e+124
9.08,4.42964e+124
9.09,-6.08943e+124
9.1,8.37114e+124
9.11,-1.15078e+125
9.12,1.58198e+125
9.13,-2.17475e+125
9.14,2.98963e+125
9.15,-4.10985e+125
9.16,5.64981e+125
9.17,-7.7668e+125
9.18,1.0677e+126
9.19,-1.46777e+126
9.2,2.01775e+126
9.21,-2.7738e+126
9.22,3.81314e+126
9.23,-5.24193e+126
9.24,7.20608e+126
9.25,-9.90621e+126
9.26,1.36181e+127
9.27,-1.87208e+127
9.28,2.57355e+127
9.29,-3.53786e+127
9.3,4.86349e+127
9.31,-6.68585e+127
9.32,9.19104e+127
9.33,-1.26349e+128
9.34,1.73692e+128
9.35,-2.38775e+128
9.36,3.28244e+128
9.37,-4.51238e+128
9.38,6.20317e+128
9.39,-8.5275e+128
9.4,1.17228e+129
9.41,-1.61153e+129
